Concurso;Data Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecadacao_Total;Ganhadores_15_N��meros;Cidade;;Ganhadores_14_Números;Ganhadores_13_Números;Ganhadores_12_Números;Ganhadores_11_Números;Valor_Rateio_15_Números;Valor_Rateio_14_N��meros;Valor_Rateio_13_Números;Valor_Rateio_12_Números;Valor_Rateio_11_Números;Acumulado_15_Números;Estimativa_Premio;Valor_Acumulado_Especial
599;10/01/2011;2;4;5;6;7;9;12;13;16;18;20;21;22;23;24;17.844.896,25;2;LONDRINA;PR;880;25267;242911;1212629;806.835,12;1.122,68;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;CAMPINAS;SP;;;;;;;;;;;;
600;13/01/2011;1;3;5;6;8;9;10;11;16;17;18;19;22;23;25;17.975.823,75;1;FEIRA DE SANTANA;BA;446;18792;264016;1311553;1.508.680,72;1.449,73;12,5;5;2,5;0;1.500.000,00;0
601;17/01/2011;1;3;5;6;7;9;10;11;12;13;14;16;19;20;25;18.226.795,00;1;ANÁPOLIS;GO;412;17057;233981;1391101;1.549.579,97;1.611,91;12,5;5;2,5;0;1.600.000,00;0
602;20/01/2011;1;2;5;6;7;8;9;10;11;12;13;18;22;23;25;17.444.588,75;3;ASSAÍ;PR;380;15543;202872;1287103;531.250,27;1.797,46;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;Curitiba;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
603;24/01/2011;2;4;5;6;8;10;12;13;15;16;19;20;21;22;23;17.852.702,50;9;PASSA QUATRO;MG;1056;25773;261450;1219712;173.128,62;903,38;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;MUNHOZ DE MELO;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BARRA MANSA;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ALUMÍNIO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;DIADEMA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GUARATINGUETA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JAÚ;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LIMEIRA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
604;27/01/2011;1;2;6;7;9;12;13;14;15;18;19;20;22;24;25;17.009.950,00;3;CABECEIRAS;GO;506;18012;211005;1136698;549.733,20;1.396,84;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;Teresina;PI;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MONTE NEGRO;RO;;;;;;;;;;;;
605;31/01/2011;2;3;4;5;7;10;11;13;14;16;17;18;21;23;25;16.825.062,50;2;LIMOEIRO DE ANADIA;AL;672;22418;238557;1242808;692.423,30;1.261,70;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;GOIÂNIA;GO;;;;;;;;;;;;
606;03/02/2011;2;3;6;7;8;10;12;14;15;16;18;22;23;24;25;17.796.427,50;2;FORTALEZA;CE;534;21419;252623;1205679;805.752,09;1.293,35;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;BRASÍLIA;DF;;;;;;;;;;;;
607;07/02/2011;3;5;7;9;12;15;16;17;18;19;20;21;22;24;25;17.785.061,25;3;Teresina;PI;523;19073;242004;1275101;521.465,47;1.281,94;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
608;10/02/2011;1;2;3;5;7;8;10;13;14;16;17;18;19;23;25;17.846.505,00;3;RIO DE JANEIRO;RJ;577;22142;288028;1426372;420.262,01;1.337,79;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DO RIO PRETO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
609;14/02/2011;1;2;4;7;9;10;11;12;14;15;16;19;20;23;25;18.265.415,00;2;VITÓRIA DA CONQUISTA;BA;776;24054;258435;1294077;786.997,78;1.241,84;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;BETIM;MG;;;;;;;;;;;;
610;17/02/2011;1;2;4;6;7;8;10;12;13;14;15;16;21;22;25;17.676.073,75;2;SANTO ANDRÉ;SP;333;16464;193384;1130653;926.468,20;2.384,73;12,5;5;2,5;0;1.100.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
611;21/02/2011;2;3;4;5;6;8;9;13;14;16;18;19;20;21;23;18.059.522,50;2;HORIZONTINA;RS;513;19827;228178;1252332;840.371,73;1.404,13;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;PORTO ALEGRE;RS;;;;;;;;;;;;
612;24/02/2011;1;2;3;6;7;9;10;13;15;16;17;18;19;23;25;17.388.851,25;3;CUIABÁ;MT;529;20136;283214;1383199;413.013,65;1.434,01;12,5;5;2,5;0;1.200.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
613;28/02/2011;2;5;6;7;10;11;12;13;14;16;17;20;22;23;25;18.022.913,75;1;AGUDOS;SP;550;18083;220899;1226595;1.732.890,56;1.350,30;12,5;5;2,5;0;1.400.000,00;0
614;03/03/2011;1;5;6;7;9;11;12;13;16;17;18;19;20;22;23;18.406.226,25;1;VITÓRIA DA CONQUISTA;BA;425;16100;234811;1334543;1.661.393,86;1.675,36;12,5;5;2,5;0;1.000.000,00;0
615;05/03/2011;1;2;4;7;8;11;12;17;19;20;21;22;23;24;25;9.204.536,25;0;;;242;9713;116484;624296;0;1.550,86;12,5;5;2,5;875.720,65;2.600.000,00;0
616;10/03/2011;1;2;6;9;10;12;15;16;17;18;19;21;22;24;25;18.926.433,75;2;RECIFE;PE;343;15129;207683;1239087;1.419.332,30;2.452,66;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SARANDI;PR;;;;;;;;;;;;
617;14/03/2011;1;2;3;4;5;7;10;14;15;16;19;21;22;24;25;18.511.731,25;0;;;327;13164;185941;1177952;0;2.639,17;12,5;5;2,5;2.013.689,11;4.000.000,00;0
618;17/03/2011;1;2;4;5;6;7;9;12;13;17;19;20;21;22;24;23.159.470,00;6;PARAUAPEBAS;PA;1435;34894;357814;1689262;641.554,45;783,17;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;GUARABIRA;PB;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO RAFAEL;RN;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Aracaju;SE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FRANCISCO MORATO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
619;21/03/2011;1;3;4;7;8;9;13;14;17;18;19;20;21;23;25;18.888.180,00;6;RIO VERDE;GO;1203;34886;333691;1516821;197.456,25;602,95;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;LOANDA;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SANTA MARIA;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;DIADEMA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FERRAZ DE VASCONCELOS;SP;;;;;;;;;;;;
620;24/03/2011;1;5;6;7;10;11;12;14;15;16;18;19;20;21;22;17.993.913,75;3;ITAJÚ DO COLÔNIA;BA;450;16122;213960;1171772;607.601,77;1.736,00;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;RIO CASCA;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SABARÁ;MG;;;;;;;;;;;;
621;28/03/2011;1;2;3;5;6;8;9;10;12;15;16;20;22;24;25;18.107.711,25;3;Curitiba;PR;700;25271;269094;1261576;515.408,29;1.352,38;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
622;31/03/2011;2;3;4;5;6;7;9;10;11;12;13;15;17;18;21;17.831.217,50;5;SALVADOR;BA;2177;18926;275820;1304035;291.391,81;409,74;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;BELFORD ROXO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ATIBAIA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CAPIVARI;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JUNDIAÍ;SP;;;;;;;;;;;;
623;04/04/2011;1;2;3;4;5;8;9;10;11;12;15;20;22;23;25;19.257.096,25;2;Curitiba;PR;475;18049;250782;1419371;844.970,17;1.524,76;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO VICENTE;SP;;;;;;;;;;;;
624;07/04/2011;1;2;4;5;6;7;9;11;12;16;17;18;20;21;24;19.187.226,25;6;MORRINHOS;GO;491;18521;251634;1273538;308.089,47;1.613,50;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;IMPERATRIZ;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CONSELHEIRO LAFAIETE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LAGARTO;SE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JAGUARIÚNA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PULO;SP;;;;;;;;;;;;
625;11/04/2011;1;2;3;6;8;10;11;13;14;15;16;17;22;23;24;19.122.860,00;3;ESPERA FELIZ;MG;546;18552;228447;1243048;642.873,99;1.513,83;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;MACHADO;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CACHOEIRINHA;RS;;;;;;;;;;;;
626;14/04/2011;1;2;3;4;5;7;8;9;11;13;17;19;21;23;24;18.190.837,50;5;BRASÍLIA;DF;1355;44982;395051;1581102;148.682,17;335,9;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;Três Lagoas;MS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Uruara;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Silva Jardim;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
627;18/04/2011;1;2;3;4;6;10;12;14;15;17;21;22;23;24;25;18.791.143,75;4;GOIÂNIA;GO;320;14807;216494;1245786;476.485,44;2.552,60;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;ARAMBARE;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MOGI MIRIM;SP;;;;;;;;;;;;
628;20/04/2011;2;3;4;7;8;9;10;11;13;15;18;19;22;23;25;11.499.612,50;4;CANAVIEIRAS;BA;673;19084;200567;980620;167.714,18;610,29;12,5;5;2,5;0;1.400.000,00;0
;;;;;;;;;;;;;;;;;;;MINEIROS;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RECIFE;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
629;25/04/2011;1;2;4;5;6;7;9;12;14;15;17;19;21;22;25;16.064.847,50;8;MANAUS;AM;1332;31880;290092;1271027;125.261,15;460,6;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO MATEUS;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;TEOFILO OTONI;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CAMAQUA;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JARAGUÁ DO SUL;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CAMPINAS;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
630;28/04/2011;1;2;4;6;7;12;13;14;17;18;20;22;23;24;25;18.093.281,25;2;GOIÂNIA;GO;638;21857;246268;1306143;782.676,15;1.502,16;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;ARMAÇÃO DOS BÚZIOS;RJ;;;;;;;;;;;;
631;02/05/2011;2;3;5;7;8;9;10;13;14;16;17;18;19;20;21;19.423.947,50;3;MINEIROS;GO;450;17567;246877;1322228;619.149,60;1.769,00;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;LIMOEIRO;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ITAGUAÍ;RJ;;;;;;;;;;;;
632;05/05/2011;1;4;6;8;10;11;13;14;16;17;20;21;22;24;25;19.175.585,00;4;ITARANTIM;BA;762;21365;229826;1156578;506.328,00;1.139,09;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;ANÁPOLIS;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;VIANA;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LAVRAS;MG;;;;;;;;;;;;
633;09/05/2011;2;3;6;7;8;9;10;12;18;20;21;22;23;24;25;19.343.490,00;2;FIGUEIROPOLIS DO OESTE;MT;388;15770;204945;1230298;1.033.224,45;2.282,53;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;BELÉM;PA;;;;;;;;;;;;
634;12/05/2011;2;3;4;5;9;10;11;12;14;15;18;19;20;21;22;19.057.636,25;3;PORTO ALEGRE;RS;661;22824;226188;1264483;622.554,76;1.210,93;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;GARÇA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sorocaba;SP;;;;;;;;;;;;
635;16/05/2011;1;4;5;6;7;8;9;11;12;13;18;19;20;22;24;19.323.945,00;2;VACARIA;RS;593;19681;253091;1313774;909.031,24;1.313,95;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
636;19/05/2011;1;2;3;4;6;10;12;13;14;16;19;20;21;23;25;18.490.957,50;3;OSASCO;SP;576;18740;229516;1271739;584.469,17;1.304,62;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
637;23/05/2011;2;4;6;7;9;13;16;17;18;19;20;21;22;23;25;18.934.031,25;2;LAURO DE FREITAS;BA;464;17743;224856;1262268;939.050,68;1.734,70;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;SANTA BÁRBARA DO SUL;RS;;;;;;;;;;;;
638;26/05/2011;1;2;3;4;9;11;13;14;16;18;19;21;23;24;25;18.027.241,25;2;NOVA PORTEIRINHA;MG;526;21710;236658;1330081;773.114,35;1.259,83;12,5;5;2,5;0;1.500.000,00;0
;;;;;;;;;;;;;;;;;;;CAMPINAS;SP;;;;;;;;;;;;
639;30/05/2011;1;2;4;5;6;8;9;10;12;16;19;20;21;22;24;18.575.582,50;5;MARINGÁ;PR;492;19883;262917;1264562;338.323,82;1.473,54;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;PASSO FUNDO;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JUNDIAÍ;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sorocaba;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
640;02/06/2011;1;3;4;5;9;11;13;14;16;18;19;20;21;22;23;18.748.852,50;2;VALENÇA;BA;466;19194;261859;1323769;831.638,01;1.529,69;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;GOIÂNIA;GO;;;;;;;;;;;;
641;06/06/2011;2;3;6;7;8;9;11;13;16;18;19;20;21;22;24;19.364.543,75;1;GUARATINGUETA;SP;495;20270;239817;1348492;1.813.203,50;1.569,87;12,5;5;2,5;0;1.300.000,00;0
642;09/06/2011;1;2;4;5;8;10;11;12;13;18;19;20;21;22;25;19.033.097,50;4;ILHÉUS;BA;842;24625;278466;1446550;375.056,78;1.090,86;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;IMPERATRIZ;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SIRIRI;SE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;TUPÃ;SP;;;;;;;;;;;;
643;13/06/2011;1;2;4;7;8;9;10;13;16;17;19;21;22;23;24;19.199.963,75;3;SALVADOR;BA;447;19976;255454;1434460;545.294,64;1.568,44;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;MIRADOURO;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JOÃO PESSOA;PB;;;;;;;;;;;;
644;16/06/2011;2;3;5;6;7;8;9;12;13;14;15;18;21;22;24;18.873.666,25;2;SETE LAGOAS;MG;568;20049;248830;1430441;793.104,27;1.196,84;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;BELÉM;PA;;;;;;;;;;;;
645;20/06/2011;4;5;8;9;10;11;13;16;18;19;20;21;22;23;25;19.082.591,25;4;RIO VERDE;GO;818;23865;294008;1438491;371.838,00;1.113,23;12,5;5;2,5;0;1.300.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;VARGEM GRANDE PAULISTA;SP;;;;;;;;;;;;
646;24/06/2011;1;3;5;6;9;10;14;15;17;18;19;20;21;23;25;14.887.541,25;0;;;503;17721;220793;1104937;0;1.470,50;12,5;5;2,5;1.208.118,21;3.500.000,00;0
647;27/06/2011;4;6;7;8;9;11;13;14;17;18;19;20;22;23;25;19.174.908,75;3;SANTANA DO LIVRAMENTO;RS;523;19995;253649;1373952;972.342,03;1.400,36;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;CAMPINAS;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO BERNARDO DO CAMPO;SP;;;;;;;;;;;;
648;30/06/2011;2;4;6;8;9;10;11;13;15;16;18;19;20;21;22;18.443.550,00;11;MANAUS;AM;1810;40540;359672;1392519;103.892,67;386,56;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;SALVADOR;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CACHOEIRO DE ITAPEMIRIM;ES;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Curitiba;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DOS PINHAIS;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CHAPECÓ;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ITATIBA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Sorocaba;SP;;;;;;;;;;;;
649;04/07/2011;1;2;4;5;6;8;9;10;11;14;15;17;21;22;24;20.055.535,00;2;UBERLÂNDIA;MG;448;17292;224449;1323044;1.024.655,84;1.960,44;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
650;07/07/2011;1;3;7;8;10;13;14;16;17;19;20;21;23;24;25;19.784.355,00;7;BRASÍLIA;DF;690;24105;283145;1409638;242.743,91;1.507,72;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;BELO HORIZONTE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BELÉM;PA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RIO DE JANEIRO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;NOVA VENEZA;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FRANCISCO MORATO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GUARULHOS;SP;;;;;;;;;;;;
651;11/07/2011;1;4;5;6;8;10;13;14;15;17;18;19;20;24;25;18.956.600,00;6;MONTANHA;ES;415;16114;220498;1262606;317.201,67;1.965,45;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;JOÃO PESSOA;PB;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;RECIFE;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CAMPOS DOS GOYTACAZES;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;GUARATINGUETA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PIQUETE;SP;;;;;;;;;;;;
652;14/07/2011;2;5;7;9;10;11;13;14;16;17;18;19;20;21;23;19.378.307,50;8;TERRA NOVA;BA;825;34507;304760;1526942;168.907,38;1.002,78;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;BRASÍLIA;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;IBIRITÉ;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO SEBASTIÃO DO PARAÍSO;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;UNAÍ;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Teresina;PI;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
653;18/07/2011;1;2;3;7;8;12;13;14;16;17;19;20;21;22;23;19.678.717,50;5;PRIMAVERA DO LESTE;MT;777;22874;280435;1377295;346.044,31;1.363,34;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;RECIFE;PE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ENCANTADO;RS;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LIMEIRA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LOUVEIRA;SP;;;;;;;;;;;;
654;21/07/2011;1;2;3;7;12;13;14;16;17;18;19;20;22;23;25;19.180.050,00;2;BARREIRAS;BA;814;47662;264054;1422803;727.610,86;1.094,53;12,5;5;2,5;0;1.600.000,00;0
;;;;;;;;;;;;;;;;;;;APARECIDA DE GOIÂNIA;GO;;;;;;;;;;;;
655;25/07/2011;2;5;7;8;10;11;13;14;15;19;20;21;23;24;25;19.679.015,00;1;SÃO PAULO;SP;667;25036;285756;1478659;1.579.836,12;1.450,14;12,5;5;2,5;0;1.600.000,00;0
656;28/07/2011;2;3;5;7;8;9;11;13;14;15;18;20;22;23;25;19.064.847,50;11;MANACAPURU;AM;1450;34748;327871;1554860;108.304,55;503,03;12,5;5;2,5;0;1.700.000,00;0
;;;;;;;;;;;;;;;;;;;MANAUS;AM;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SALVADOR;BA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FORTALEZA;CE;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BRASÍLIA;DF;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ALFENAS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LAGOA GRANDE;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PINHAIS;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO GONÇALO;RJ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
657;01/08/2011;2;3;4;5;6;8;10;12;13;15;17;19;23;24;25;20.391.485,00;9;SIMÕES FILHO;BA;1799;34632;329281;1545390;165.150,47;505,84;12,5;5;2,5;0;1.800.000,00;0
;;;;;;;;;;;;;;;;;;;CONCEIÇÃO DAS ALAGOAS;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;UNAI;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ARAPONGAS;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LAURO MULLER;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;LUÍS ANTÔNIO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PANORAMA;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO BERNARDO DO CAMPO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO JOSÉ DOS CAMPOS;SP;;;;;;;;;;;;
658;04/08/2011;1;4;5;6;7;9;10;11;14;15;17;21;23;24;25;20.202.058,75;0;;;494;20320;268288;1405228;0;1.608,70;12,5;5;2,5;1.854.288,48;4.000.000,00;0
659;08/08/2011;1;3;4;5;6;8;9;10;11;12;15;19;20;23;24;25.567.515,00;6;ITABUNA;BA;663;24827;316959;1777295;710.540,18;1.557,18;12,5;5;2,5;0;1.800.000,00;0
;;;;;;;;;;;;;;;;;;;GOIÂNIA;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;ANHUMAS;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;MATÃO;SP;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
660;11/08/2011;3;4;5;6;7;8;9;12;14;15;16;17;19;24;25;20.750.801,25;0;;;611;21890;253608;1343439;0;1.455,24;12,5;5;2,5;2.074.690,10;4.600.000,00;0
661;15/08/2011;1;3;6;7;10;11;12;15;17;18;19;20;22;23;24;25.171.296,25;0;;;576;20131;269743;1619717;0;1.979,88;12,5;5;2,5;4.735.656,05;7.000.000,00;0
662;18/08/2011;1;2;3;6;7;8;9;11;13;14;15;16;19;20;22;33.445.582,50;8;BRASÍLIA;DF;741;27285;378957;2273297;1.008.663,25;1.928,08;12,5;5;2,5;0;1.800.000,00;0
;;;;;;;;;;;;;;;;;;;FORTALEZA DOS NOGUEIRAS;MA;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JUIZ DE FORA;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;JOÃO PESSOA;PB;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;PICOS;PI;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;CASCAVEL;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;FORMOSA DO OESTE;PR;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
663;22/08/2011;2;4;5;6;7;9;11;13;16;17;19;21;22;23;24;21.499.566,25;8;TAUÁ;CE;1314;34032;354983;1576910;203.431,69;758,29;12,5;5;2,5;0;1.700.000,00;0
;;;;;;;;;;;;;;;;;;;GOIANÉSIA;GO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;BETIM;MG;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;QUERÊNCIA;MT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SCHROEDER;SC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;SÃO PAULO;SP;;;;;;;;;;;;
